<LightMusic97883> 你们好，我是新人，我是看B站的专栏介绍进来的,<1323dawn> 我也是新人
<LightMusic97883> 你们服没有新人福利吗？我啥也没有，让我怎么活啊,<1323dawn> 我玩过的全没<1323dawn> 我也才来咱俩一起玩吧
<LightMusic97883> @1323dawn 好啊，一起玩,<1323dawn> 一出生全是领地玩屁啊
<hyq> wanghany,<wanghany> 干嘛
<Dachengcheng> 抢好吧，别抢尸王斧，我要打僵尸王,<hyq> 好
<zaimarentou> ?,<yingfeng> e
<Dachengcheng> 僵尸王在这附近,<Dachengcheng> em的boss追踪说在这
<Dachengcheng> 理论上我站的地方有僵尸王,<hyq> e
<Dachengcheng> 起码em是这么说的,<hyq> e
<yingfeng> 原来不详之兆可以和村庄英雄共存,<Cloudrain_0v0> 可以  
"<Dachengcheng> cloud你打的是岛附近那个？",<Cloudrain_0v0> 是的
<Cloudrain_0v0> 别看了，俩boss都假的,<hyq> *^&&%$%
<Cloudrain_0v0> 今天早上砸过来一个陨石倒是真的,<Dachengcheng> 34850 10 33824那个？？？(晕，找了半小时)
<hyq> 我有20个附魔金屁屁,<Dachengcheng> 我有9个
<Cloudrain_0v0> 还有你hyq咋这么不要脸呢，领地移动给你下了摆明就是不让你过来看,<hyq> e
<Cloudrain_0v0> 还开个小号过来（恼）,<hyq> (哔)<hyq> 也没说不能开小号
<Cloudrain_0v0> 你猜我下你领地移动的目的是什么,<hyq> 私聊说好吧
<Cloudrain_0v0> 你猜为什么有禁止玩家移动的功能,<hyq> 当着和我不到一样
<TLttz> 我是**,<sherry2403> TLttz 你闲的没事吧(^_?^)
<Dachengcheng> 谁闲着想找点事干,<sherry2403> 我
<Dachengcheng> 打尸王,<Dachengcheng> 先找
<Dachengcheng> 斧子能我拿吗,<sherry2403> ...
<yingfeng> 咋幻翼都有精英怪了,<TLttz> 嫩来就有啊
<TLttz> wanghany,<Ciupui>挂机呢
<TLttz> 我是**,<TLttz> 第一次见把自己搞死的小黑
<TLttz> 第一次见把自己搞死的小黑,<MU_JieShuo> 6
<yingfeng> 缺经验怎么整,<MU_JieShuo> 小黑塔能用了
<yingfeng> 我钓竿忘了跟SashC拿回来了，所以我在刷饵钓和海之眷顾附魔书。。。。,<MU_JieShuo> 我的钓鱼竿钓上来一个和我钓鱼竿附魔基本一样就差经验修补的一个钓鱼竿
<MU_JieShuo> 附魔一个钓鱼竿划掉我40经验,<TLttz> 钓鱼佬
<bai_du_wang_pan> 这个服1.19不能进qwq,<Kevin_mxbt> 可以的啊
"<Dachengcheng> cloud.为什么现在我没有天堂岛权限",<Cloudrain_0v0> 自己想（恼）
<Cloudrain_0v0> yingfeng在哪里qwq,<TLttz> 他挂机力（喜）
<Cloudrain_0v0> 我来到云杉村了,<MU_JieShuo> 现在云杉村一个房间怎么买
<Cloudrain_0v0> 偷狐月东西的垃圾人闭嘴,<Dachengcheng> ok
<Cloudrain_0v0> 以后不要叫我岛主 <Cloudrain_0v0> 滚出天堂岛,<Dachengcheng> good bye
<Cloudrain_0v0> 我是一个身无分文的萌新,<yingfeng> 一定是SashC说的
<Cloudrain_0v0> 所以你能给我一组钻石吗qwq,<yingfeng> 能，只要来这里定居
<Cloudrain_0v0> 但我还是想要钻石,<yingfeng> 来这里建房定居就给
<Cloudrain_0v0> 我不要一组，少给一点就行,"<yingfeng> eee.算了，我也没指望你要在这住"
<Cloudrain_0v0> 谢谢yingfeng，小人下辈子定当偿还,<yingfeng> 9
<Cloudrain_0v0> 好好建你的云杉村，看好你awa,<yingfeng> 只是受人之托了
<Cloudrain_0v0> 还有，刚刚谁把我砍死了来着（恼）,<yingfeng> eee
<Cloudrain_0v0> 下一个就该云杉村了,<TLttz> 地下城！
<Cloudrain_0v0> 你要看看我的小镇吗？,<Cloudrain_0v0> awa
<yingfeng> 这咋还能飞行的,<Cloudrain_0v0> 20块钱买的
<yingfeng> 这个t,<MU_JieShuo> 66666666666666
<Cloudrain_0v0> 东边就没飞行了奥,<MU_JieShuo> 好啊真好
<judgefound1125> yingfeng yingfeng，我关注你114514年了，你能把自己送给我吗（（（（（,<MU_JieShuo> 6
<Cloudrain_0v0> 话说云杉村村长事......?,<yingfeng> SashC
<Cloudrain_0v0> :说 mxbt主领事变谁了？,<builder> Kevin建没建场地都还不知道呢
